SD,SE,ND,NE
,,,6
,,,6
,,,5
,,,5
,,,4
,,,5
,,,4
,,,7
,,,5
,,,5
,,,5
,,,5
,,,6
,,,4
,,,6
,,,5
,,,8
,,,8
,,,6
,,,4
,,,4
,,,5
,,,8
,,,7
,,,6
,,,8
,,,9
,,,4
,,,4
,,,4
,,,6
,,,8
,,,4
,,,8
,,,5
,,,5
,,,6
,,,8
,,,6
,,,4
,,,6
,,,5
,,,5
,,,5
,,,4
,,,6
,,,5
,,,5
,,,7
,,,4
,,,4
,,,7
,,,4
,,,6
,,,5
,,,7
,,,5
,,,4
,,,5
,,,4
,,,4
,,,4
,,,5
,,,6
,,,4
,,,5
,,,4
,,,10
,,,7
,,,5
,,,4
,,,9
,,,4
,,,5
,,,5
,,,4
,,,7
,,,4
,,,5
,,,6
,,,5
,,,7
,,,5
,,,4
,,,4
,,,5
,,,4
,,,4
,,,4
,,,5
,,,14
,,,4
,,,4
,,,4
,,,5
,,,4
,,,5
,,,4
,,,8
,,,4
,,,5
,,,10
,,,4
,,,6
,,,7
,,,5
,,,7
,,,6
,,,7
,,,6
,,,4
,,,4
,,,4
,,,5
,,,7
,,,8
,,,4
,,,10
,,,6
,,,4
,,,17
,,,4
,,,6
,,,4
,,,6
,,,6
,,,4
,,,10
,,,7
,,,4
,,,6
,,,5
,,,7
,,,4
,,,6
,,,5
,,,4
,,,7
,,,4
,,,6
,,,4
,,,9
,,,4
,,,5
,,,4
,,,4
,,,7
,,,6
,,,5
,,,6
,,,4
,,,6
,,,5
,,,4
,,,8
,,,6
,,,4
,,,5
,,,5
,,,6
,,,7
,,,4
,,,5
,,,4
,,,4
,,,4
,,,4
,,,5
,,,4
,,,6
,,,4
,,,4
,,,4
,,,6
,,,5
,,,6
,,,6
,,,4
,,,7
,,,4
,,,4
,,,6
,,,4
,,,5
,,,4
,,,5
,,,6
,,,4
,,,8
,,,6
,,,5
,,,4
,,,6
,,,7
,,,8
,,,7
,,,4
,,,5
,,,7
,,,4
,,,4
,,,5
,,,4
,,,4
,,,4
,,,4
,,,7
,,,7
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,6
,,,5
,,,7
,,,6
,,,5
,,,4
,,,4
,,,7
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,7
,,,7
,,,5
,,,6
,,,4
,,,7
,,,5
,,,7
,,,4
,,,4
,,,6
,,,4
,,,8
,,,8
,,,4
,,,4
,,,7
,,,6
,,,5
,,,8
,,,7
,,,4
,,,4
,,,6
,,,5
,,,6
,,,5
,,,4
,,,4
,,,4
,,,5
,,,7
,,,4
,,,4
,,,6
,,,4
,,,4
,,,4
,,,4
,,,4
,,,5
,,,4
,,,4
,,,4
,,,8
,,,4
,,,4
,,,6
,,,4
,,,5
,,,4
,,,4
,,,4
,,,5
,,,4
,,,7
,,,5
,,,7
,,,7
,,,6
,,,5
,,,4
,,,4
,,,4
,,,8
,,,5
,,,4
,,,5
,,,5
,,,5
,,,4
,,,6
,,,4
,,,6
,,,5
,,,5
,,,4
,,,5
,,,4
,,,4
,,,7
,,,5
,,,4
,,,7
,,,6
,,,4
,,,6
,,,4
,,,11
,,,5
,,,6
,,,4
,,,9
,,,6
,,,6
,,,6
,,,4
,,,5
,,,4
,,,6
,,,6
,,,4
,,,6
,,,8
,,,6
,,,4
,,,8
,,,4
,,,4
,,,4
,,,6
,,,7
,,,4
,,,5
,,,7
,,,10
,,,6
,,,6
,,,6
,,,5
,,,4
,,,5
,,,8
,,,6
,,,4
,,,5
,,,4
,,,4
,,,5
,,,4
,,,4
,,,5
,,,4
,,,4
,,,4
,,,4
,,,5
,,,4
,,,4
,,,6
,,,4
,,,7
,,,4
,,,6
,,,6
,,,5
,,,5
,,,9
,,,4
,,,8
,,,6
,,,5
,,,7
,,,4
,,,4
,,,4
,,,6
,,,27
,,,4
,,,9
,,,5
,,,6
,,,5
,,,6
,,,6
,,,5
,,,5
,,,6
,,,6
,,,4
,,,5
,,,4
,,,5
,,,5
,,,5
,,,5
,,,4
,,,9
,,,4
,,,8
,,,4
,,,4
,,,4
,,,5
,,,10
,,,7
,,,4
,,,4
,,,4
,,,6
,,,6
,,,4
,,,4
,,,4
,,,4
,,,5
,,,5
,,,4
,,,5
,,,4
,,,4
,,,9
,,,5
,,,4
,,,5
,,,5
,,,4
,,,4
,,,8
,,,4
,,,4
,,,4
,,,4
,,,7
,,,5
,,,4
,,,4
,,,7
,,,6
,,,4
,,,4
,,,7
,,,7
,,,4
,,,4
,,,6
,,,7
,,,4
,,,7
,,,5
,,,4
,,,5
,,,6
,,,4
,,,4
,,,4
,,,5
,,,6
,,,7
,,,5
,,,5
,,,4
,,,7
,,,5
,,,4
,,,6
,,,5
,,,10
,,,5
,,,7
,,,4
,,,9
,,,7
,,,4
,,,6
,,,5
,,,6
,,,8
,,,6
,,,4
,,,4
,,,6
,,,7
,,,4
,,,7
,,,7
,,,6
,,,4
,,,4
,,,5
,,,8
,,,6
,,,4
,,,13
,,,4
,,,5
,,,7
,,,4
,,,4
,,,4
,,,6
,,,8
,,,6
,,,4
,,,4
,,,5
,,,4
,,,4
,,,8
,,,5
,,,4
,,,4
,,,5
,,,7
,,,5
,,,6
,,,10
,,,6
,,,4
,,,4
,,,6
,,,8
,,,4
,,,4
,,,4
,,,4
,,,4
,,,5
,,,8
,,,4
,,,4
,,,4
,,,4
,,,6
,,,4
,,,7
,,,5
,,,4
,,,6
,,,7
,,,4
,,,5
,,,5
,,,5
,,,6
,,,4
,,,4
,,,6
,,,4
,,,4
,,,7
,,,5
,,,7
,,,6
,,,4
,,,4
,,,4
,,,7
,,,4
,,,4
,,,4
,,,4
,,,7
,,,4
,,,5
,,,4
,,,8
,,,6
,,,7
,,,4
,,,5
,,,5
,,,5
,,,7
,,,5
,,,4
,,,4
,,,7
,,,4
,,,5
,,,4
,,,5
,,,4
,,,5
,,,5
,,,4
,,,6
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,5
,,,8
,,,5
,,,6
,,,4
,,,4
,,,4
,,,4
,,,10
,,,7
,,,4
,,,4
,,,6
,,,4
,,,4
,,,5
,,,4
,,,7
,,,4
,,,7
,,,4
,,,6
,,,8
,,,4
,,,4
,,,5
,,,7
,,,5
,,,5
,,,6
,,,6
,,,5
,,,4
,,,8
,,,7
,,,4
,,,4
,,,4
,,,4
,,,5
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,5
,,,4
,,,5
,,,4
,,,8
,,,5
,,,7
,,,6
,,,4
,,,5
,,,4
,,,6
,,,4
,,,5
,,,5
,,,6
,,,4
,,,4
,,,4
,,,5
,,,5
,,,5
,,,6
,,,8
,,,5
,,,4
,,,4
,,,6
,,,9
,,,5
,,,4
,,,5
,,,7
,,,5
,,,4
,,,6
,,,5
,,,5
,,,9
,,,4
,,,5
,,,5
,,,4
,,,4
,,,5
,,,6
,,,5
,,,4
,,,5
,,,4
,,,4
,,,6
,,,4
,,,5
,,,6
,,,4
,,,6
,,,5
,,,4
,,,8
,,,4
,,,4
,,,4
,,,4
,,,10
,,,6
,,,4
,,,6
,,,6
,,,5
,,,8
,,,4
,,,4
,,,5
,,,4
,,,7
,,,6
,,,6
,,,4
,,,4
,,,4
,,,4
,,,5
,,,8
,,,6
,,,6
,,,50
,,,5
,,,5
,,,5
,,,5
,,,4
,,,4
,,,8
,,,7
,,,5
,,,6
,,,6
,,,4
,,,4
,,,5
,,,4
,,,4
,,,5
,,,4
,,,9
,,,4
,,,6
,,,5
,,,7
,,,4
,,,5
,,,11
,,,4
,,,8
,,,4
,,,8
,,,4
,,,4
,,,5
,,,5
,,,4
,,,4
,,,6
,,,6
,,,4
,,,4
,,,5
,,,5
,,,7
,,,4
,,,5
,,,7
,,,5
,,,4
,,,5
,,,4
,,,10
,,,5
,,,5
,,,7
,,,5
,,,13
,,,7
,,,5
,,,5
,,,4
,,,5
,,,5
,,,6
,,,9
,,,5
,,,4
,,,4
,,,6
,,,6
,,,6
,,,4
,,,5
,,,4
,,,5
,,,6
,,,4
,,,4
,,,6
,,,5
,,,6
,,,4
,,,4
,,,5
,,,4
,,,5
,,,6
,,,7
,,,8
,,,11
,,,4
,,,5
,,,6
,,,4
,,,6
,,,4
,,,8
,,,4
,,,4
,,,4
,,,4
,,,5
,,,7
,,,5
,,,5
,,,7
,,,5
,,,4
,,,6
,,,5
,,,8
,,,5
,,,4
,,,7
,,,6
,,,4
,,,4
,,,4
,,,4
,,,8
,,,4
,,,9
,,,4
,,,4
,,,4
,,,6
,,,4
,,,8
,,,6
,,,9
,,,6
,,,4
,,,4
,,,6
,,,4
,,,4
,,,5
,,,9
,,,5
,,,8
,,,4
,,,4
,,,4
,,,5
,,,4
,,,4
,,,7
,,,4
,,,4
,,,18
,,,4
,,,6
,,,4
,,,4
,,,6
,,,4
,,,4
,,,4
,,,4
,,,7
,,,4
,,,5
,,,5
,,,4
,,,5
,,,7
,,,6
,,,5
,,,5
,,,4
,,,5
,,,4
,,,5
,,,5
,,,6
,,,7
,,,7
,,,4
,,,4
,,,7
,,,5
,,,6
,,,5
,,,5
,,,4
,,,6
,,,4
,,,4
,,,4
,,,7
,,,5
,,,4
,,,6
,,,4
,,,6
,,,5
,,,4
,,,5
,,,6
,,,7
,,,4
,,,6
,,,4
,,,4
,,,10
,,,5
,,,5
,,,7
,,,6
,,,4
,,,6
,,,7
,,,4
,,,4
,,,4
,,,14
,,,6
,,,5
,,,5
,,,8
,,,4
,,,6
,,,5
,,,9
,,,5
,,,6
,,,5
,,,4
,,,5
,,,9
,,,6
,,,6
,,,5
,,,4
,,,4
,,,7
,,,5
,,,4
,,,5
,,,4
,,,4
,,,9
,,,4
,,,6
,,,5
,,,6
,,,4
,,,10
,,,6
,,,6
,,,5
,,,4
,,,5
,,,5
,,,4
,,,5
,,,5
,,,5
,,,6
,,,7
,,,4
,,,4
,,,7
,,,5
,,,7
,,,4
,,,4
,,,5
,,,4
,,,4
,,,4
,,,6
,,,9
,,,6
,,,6
,,,6
,,,4
,,,4
,,,7
,,,6
,,,4
,,,6
,,,4
,,,7
,,,4
,,,4
,,,4
,,,6
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,5
,,,7
,,,6
,,,4
,,,5
,,,6
,,,6
,,,7
,,,6
,,,6
,,,5
,,,4
,,,4
,,,5
,,,5
,,,4
,,,9
,,,16
,,,4
,,,7
,,,11
,,,11
,,,7
,,,7
,,,8
,,,4
,,,4
,,,4
,,,9
,,,4
,,,7
,,,6
,,,8
,,,4
,,,4
,,,9
,,,4
,,,6
,,,6
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,7
,,,8
,,,9
,,,4
,,,4
,,,8
,,,10
,,,5
,,,4
,,,4
,,,4
,,,5
,,,4
,,,4
,,,4
,,,6
,,,7
,,,4
,,,6
,,,7
,,,6
,,,5
,,,4
,,,4
,,,5
,,,5
,,,8
,,,4
,,,6
,,,16
,,,4
,,,4
,,,4
,,,4
,,,4
,,,5
,,,11
,,,4
,,,7
,,,5
,,,7
,,,4
,,,5
,,,6
,,,4
,,,4
,,,4
,,,4
,,,4
,,,6
,,,4
,,,4
,,,5
,,,7
,,,5
,,,4
,,,11
,,,7
,,,6
,,,4
,,,8
,,,6
,,,8
,,,4
,,,4
,,,4
,,,5
,,,6
,,,4
,,,5
,,,4
,,,4
,,,6
,,,4
,,,6
,,,4
,,,4
,,,4
,,,6
,,,7
,,,4
,,,5
,,,5
,,,4
,,,5
,,,6
,,,4
,,,5
,,,5
,,,4
,,,4
,,,9
,,,5
,,,5
,,,5
,,,5
,,,4
,,,10
,,,4
,,,5
,,,4
,,,6
,,,4
,,,5
,,,8
,,,7
,,,4
,,,4
,,,5
,,,4
,,,4
,,,4
,,,5
,,,5
,,,5
,,,5
,,,4
,,,10
,,,4
,,,7
,,,7
,,,6
,,,5
,,,4
,,,8
,,,4
,,,6
,,,4
,,,14
,,,5
,,,5
,,,9
,,,7
,,,5
,,,4
,,,4
,,,4
,,,4
,,,4
,,,6
,,,5
,,,4
,,,4
,,,5
,,,4
,,,5
,,,7
,,,4
,,,5
,,,5
,,,4
,,,4
,,,13
,,,9
,,,4
,,,4
,,,4
,,,4
,,,6
,,,5
,,,4
,,,5
,,,5
,,,4
,,,5
,,,4
,,,5
,,,4
,,,5
,,,4
,,,6
,,,4
,,,6
,,,7
,,,8
,,,4
,,,5
,,,8
,,,8
,,,6
,,,12
,,,6
,,,5
,,,5
,,,4
,,,6
,,,4
,,,8
,,,4
,,,5
,,,9
,,,5
,,,4
,,,4
,,,4
,,,5
,,,12
,,,4
,,,4
,,,5
,,,5
,,,4
,,,5
,,,4
,,,7
,,,5
,,,5
,,,4
,,,4
,,,4
,,,5
,,,5
,,,6
,,,4
,,,5
,,,4
,,,6
,,,7
,,,5
,,,7
,,,4
,,,15
,,,7
,,,4
,,,4
,,,5
,,,5
,,,4
,,,5
,,,4
,,,4
,,,8
,,,5
,,,4
,,,5
,,,5
,,,4
,,,4
,,,4
,,,5
,,,4
,,,7
,,,6
,,,6
,,,4
,,,5
,,,4
,,,5
,,,7
,,,4
,,,4
,,,5
,,,4
,,,4
,,,4
,,,4
,,,4
,,,7
,,,8
,,,4
,,,4
,,,5
,,,5
,,,5
,,,4
,,,4
,,,5
,,,6
,,,7
,,,7
,,,4
,,,4
,,,5
,,,4
,,,4
,,,4
,,,7
,,,5
,,,7
,,,4
,,,4
,,,7
,,,5
,,,4
,,,4
,,,6
,,,4
,,,4
,,,4
,,,4
,,,6
,,,6
,,,7
,,,4
,,,8
,,,5
,,,4
,,,8
,,,4
,,,8
,,,4
,,,4
,,,4
,,,4
,,,4
,,,6
,,,7
,,,6
,,,5
,,,7
,,,4
,,,4
,,,4
,,,8
,,,7
,,,7
,,,6
,,,7
,,,6
,,,4
,,,4
,,,7
,,,5
,,,4
,,,4
,,,6
,,,5
,,,5
,,,5
,,,5
,,,4
,,,4
,,,4
,,,6
,,,6
,,,4
,,,4
,,,4
,,,6
,,,4
,,,6
,,,5
,,,4
,,,8
,,,4
,,,4
,,,5
,,,6
,,,6
,,,4
,,,4
,,,4
,,,4
,,,4
,,,8
,,,6
,,,4
,,,8
,,,5
,,,9
,,,5
,,,7
,,,7
,,,5
,,,5
,,,4
,,,7
,,,5
,,,4
,,,6
,,,4
,,,5
,,,4
,,,4
,,,21
,,,6
,,,6
,,,4
,,,5
,,,7
,,,4
,,,4
,,,9
,,,6
,,,8
,,,4
,,,5
,,,6
,,,6
,,,4
,,,4
,,,6
,,,6
,,,4
,,,4
,,,4
,,,4
,,,6
,,,4
,,,6
,,,5
,,,5
,,,6
,,,5
,,,4
,,,8
,,,4
,,,5
,,,4
,,,6
,,,4
,,,4
,,,4
,,,7
,,,6
,,,4
,,,6
,,,4
,,,4
,,,5
,,,4
,,,4
,,,4
,,,4
,,,6
,,,5
,,,6
,,,5
,,,5
,,,4
,,,5
,,,7
,,,6
,,,5
,,,4
,,,4
,,,7
,,,4
,,,4
,,,5
,,,4
,,,4
,,,5
,,,5
,,,7
,,,5
,,,6
,,,11
,,,11
,,,5
,,,6
,,,8
,,,7
,,,4
,,,4
,,,4
,,,5
,,,4
,,,4
,,,5
,,,4
,,,7
,,,4
,,,4
,,,8
,,,14
,,,4
,,,5
,,,7
,,,7
,,,4
,,,4
,,,5
,,,4
,,,5
,,,6
,,,6
,,,5
,,,5
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,5
,,,5
,,,4
,,,4
,,,8
,,,5
,,,7
,,,6
,,,11
,,,5
,,,4
,,,5
,,,4
,,,4
,,,6
,,,7
,,,5
,,,5
,,,6
,,,4
,,,4
,,,4
,,,4
,,,7
,,,6
,,,4
,,,5
,,,4
,,,4
,,,12
,,,4
,,,4
,,,4
,,,7
,,,5
,,,6
,,,4
,,,5
,,,4
,,,7
,,,4
,,,4
,,,4
,,,4
,,,7
,,,4
,,,4
,,,5
,,,5
,,,4
,,,6
,,,5
,,,5
,,,5
,,,4
,,,4
,,,4
,,,4
,,,4
,,,6
,,,6
,,,5
,,,8
,,,4
,,,6
,,,7
,,,4
,,,7
,,,9
,,,8
,,,4
,,,10
,,,4
,,,6
,,,9
,,,4
,,,7
,,,4
,,,4
,,,6
,,,6
,,,4
,,,9
,,,4
,,,6
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,7
,,,4
,,,6
,,,4
,,,7
,,,4
,,,4
,,,6
,,,4
,,,17
,,,5
,,,4
,,,4
,,,4
,,,6
,,,5
,,,7
,,,4
,,,4
,,,6
,,,5
,,,16
,,,4
,,,6
,,,5
,,,4
,,,4
,,,6
,,,7
,,,4
,,,7
,,,4
,,,6
,,,4
,,,12
,,,7
,,,6
,,,5
,,,4
,,,5
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,6
,,,8
,,,4
,,,5
,,,4
,,,4
,,,5
,,,5
,,,5
,,,5
,,,6
,,,4
,,,5
,,,5
,,,6
,,,4
,,,4
,,,7
,,,6
,,,4
,,,5
,,,4
,,,4
,,,5
,,,4
,,,6
,,,6
,,,5
,,,4
,,,4
,,,4
,,,8
,,,4
,,,4
,,,4
,,,4
,,,6
,,,6
,,,6
,,,5
,,,8
,,,4
,,,4
,,,7
,,,6
,,,6
,,,7
,,,4
,,,6
,,,5
,,,4
,,,5
,,,4
,,,6
,,,4
,,,4
,,,6
,,,6
,,,4
,,,5
,,,7
,,,4
,,,8
,,,7
,,,6
,,,4
,,,7
,,,5
,,,4
,,,7
,,,5
,,,4
,,,4
,,,6
,,,6
,,,6
,,,6
,,,5
,,,5
,,,4
,,,4
,,,13
,,,5
,,,4
,,,4
,,,13
,,,4
,,,4
,,,6
,,,8
,,,4
,,,4
,,,4
,,,6
,,,4
,,,4
,,,5
,,,8
,,,6
,,,7
,,,5
,,,8
,,,4
,,,4
,,,6
,,,5
,,,5
,,,4
,,,7
,,,7
,,,4
,,,7
,,,6
,,,4
,,,5
,,,4
,,,4
,,,10
,,,4
,,,7
,,,8
,,,5
,,,4
,,,4
,,,4
,,,5
,,,4
,,,6
,,,4
,,,5
,,,8
,,,5
,,,8
,,,4
,,,8
,,,6
,,,5
,,,4
,,,5
,,,5
,,,6
,,,5
,,,4
,,,5
,,,4
,,,5
,,,4
,,,8
,,,6
,,,5
,,,4
,,,5
,,,4
,,,4
,,,4
,,,7
,,,7
,,,7
,,,4
,,,4
,,,4
,,,6
,,,4
,,,4
,,,7
,,,6
,,,6
,,,4
,,,4
,,,7
,,,4
,,,5
,,,7
,,,8
,,,4
,,,7
,,,4
,,,5
,,,7
,,,5
,,,10
,,,4
,,,4
,,,6
,,,4
,,,4
,,,4
,,,10
,,,6
,,,6
,,,4
,,,4
,,,4
,,,6
,,,4
,,,7
,,,11
,,,7
,,,5
,,,5
,,,4
,,,7
,,,5
,,,11
,,,4
,,,4
,,,6
,,,7
,,,4
,,,8
,,,4
,,,7
,,,5
,,,6
,,,4
,,,7
,,,4
,,,5
,,,13
,,,4
,,,6
,,,4
,,,4
,,,8
,,,4
,,,4
,,,4
,,,4
,,,6
,,,9
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,6
,,,6
,,,8
,,,6
,,,8
,,,4
,,,4
,,,4
,,,7
,,,5
,,,4
,,,4
,,,4
,,,7
,,,6
,,,7
,,,4
,,,4
,,,5
,,,4
,,,8
,,,7
,,,10
,,,7
,,,6
,,,4
,,,8
,,,8
,,,4
,,,4
,,,4
,,,5
,,,4
,,,4
,,,7
,,,7
,,,5
,,,5
,,,7
,,,4
,,,5
,,,5
,,,4
,,,6
,,,6
,,,4
,,,4
,,,5
,,,7
,,,4
,,,6
,,,4
,,,5
,,,5
,,,4
,,,9
,,,6
,,,6
,,,6
,,,4
,,,6
,,,7
,,,4
,,,5
,,,6
,,,6
,,,7
,,,6
,,,4
,,,4
,,,4
,,,6
,,,4
,,,7
,,,6
,,,4
,,,6
,,,5
,,,4
,,,6
,,,7
,,,5
,,,4
,,,4
,,,5
,,,8
,,,4
,,,7
,,,4
,,,5
,,,7
,,,4
,,,26
,,,4
,,,5
,,,4
,,,8
,,,4
,,,4
,,,7
,,,7
,,,4
,,,4
,,,8
,,,5
,,,4
,,,6
,,,6
,,,16
,,,7
,,,6
,,,4
,,,7
,,,4
,,,6
,,,4
,,,7
,,,5
,,,4
,,,4
,,,5
,,,6
,,,5
,,,5
,,,4
,,,9
,,,4
,,,5
,,,6
,,,4
,,,5
,,,6
,,,5
,,,6
,,,4
,,,4
,,,4
,,,4
,,,6
,,,7
,,,4
,,,4
,,,4
,,,6
,,,4
,,,4
,,,6
,,,4
,,,7
,,,5
,,,4
,,,5
,,,4
,,,5
,,,4
,,,7
,,,5
,,,4
,,,4
,,,7
,,,6
,,,4
,,,4
,,,5
,,,8
,,,4
,,,5
,,,4
,,,5
,,,12
,,,7
,,,5
,,,5
,,,4
,,,4
,,,4
,,,15
,,,5
,,,8
,,,4
,,,13
,,,5
,,,4
,,,5
,,,8
,,,5
,,,6
,,,4
,,,5
,,,4
,,,6
,,,4
,,,4
,,,4
,,,6
,,,4
,,,5
,,,4
,,,4
,,,5
,,,7
,,,7
,,,5
,,,7
,,,4
,,,5
,,,6
,,,7
,,,6
,,,4
,,,7
,,,4
,,,6
,,,4
,,,6
,,,7
,,,8
,,,4
,,,4
,,,10
,,,6
,,,15
,,,4
,,,7
,,,4
,,,4
,,,5
,,,4
,,,4
,,,6
,,,6
,,,4
,,,6
,,,6
,,,4
,,,7
,,,4
,,,4
,,,5
,,,4
,,,4
,,,7
,,,4
,,,4
,,,4
,,,9
,,,4
,,,4
,,,6
,,,4
,,,4
,,,5
,,,4
,,,4
,,,4
,,,5
,,,8
,,,7
,,,5
,,,5
,,,5
,,,11
,,,6
,,,6
,,,4
,,,10
,,,4
,,,8
,,,4
,,,6
,,,5
,,,4
,,,5
,,,8
,,,5
,,,6
,,,5
,,,4
,,,5
,,,4
,,,4
,,,5
,,,4
,,,6
,,,4
,,,4
,,,5
,,,4
,,,5
,,,4
,,,4
,,,4
,,,4
,,,4
,,,6
,,,7
,,,4
,,,4
,,,4
,,,4
,,,6
,,,7
,,,6
,,,4
,,,5
,,,7
,,,4
,,,6
,,,4
,,,4
,,,4
,,,4
,,,8
,,,5
,,,4
,,,5
,,,6
,,,4
,,,6
,,,4
,,,4
,,,4
,,,4
,,,6
,,,5
,,,5
,,,5
,,,8
,,,8
,,,5
,,,6
,,,4
,,,7
,,,4
,,,4
,,,7
,,,5
,,,5
,,,6
,,,4
,,,13
,,,4
,,,4
,,,4
,,,9
,,,4
,,,4
,,,5
,,,4
,,,5
,,,5
,,,7
,,,5
,,,8
,,,4
,,,5
,,,4
,,,4
,,,4
,,,4
,,,5
,,,4
,,,5
,,,5
,,,4
,,,6
,,,4
,,,6
,,,6
,,,6
,,,5
,,,4
,,,5
,,,5
,,,4
,,,5
,,,6
,,,4
,,,5
,,,7
,,,4
,,,7
,,,4
,,,6
,,,4
,,,4
,,,4
,,,6
,,,6
,,,4
,,,5
,,,7
,,,7
,,,6
,,,4
,,,4
,,,5
,,,4
,,,4
,,,5
,,,4
,,,7
,,,5
,,,4
,,,5
,,,4
,,,6
,,,7
,,,4
,,,5
,,,5
,,,4
,,,4
,,,4
,,,6
,,,6
,,,6
,,,6
,,,4
,,,4
,,,5
,,,4
,,,7
,,,5
,,,4
,,,4
,,,5
,,,4
,,,6
,,,4
,,,4
,,,9
,,,6
,,,4
,,,5
,,,4
,,,5
,,,5
,,,4
,,,7
,,,8
,,,6
,,,5
,,,5
,,,4
,,,6
,,,6
,,,11
,,,4
,,,5
,,,7
,,,5
,,,6
,,,5
,,,5
,,,4
,,,5
,,,6
,,,5
,,,4
,,,5
,,,4
,,,4
,,,5
,,,4
,,,5
,,,4
,,,7
,,,6
,,,9
,,,5
,,,4
,,,7
,,,5
,,,5
,,,5
,,,7
,,,6
,,,4
,,,4
,,,5
,,,8
,,,5
,,,4
,,,5
,,,7
,,,6
,,,4
,,,9
,,,5
,,,6
,,,4
,,,5
,,,8
,,,8
,,,5
,,,4
,,,4
,,,4
,,,5
,,,4
,,,5
,,,5
,,,4
,,,5
,,,4
,,,7
,,,4
,,,5
,,,5
,,,4
,,,4
,,,4
,,,6
,,,5
,,,6
,,,4
,,,7
,,,4
,,,7
,,,6
,,,4
,,,5
,,,6
,,,5
,,,4
,,,7
,,,7
,,,5
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,5
,,,4
,,,5
,,,8
,,,4
,,,7
,,,4
,,,4
,,,4
,,,5
,,,4
,,,4
,,,4
,,,7
,,,4
,,,4
,,,4
,,,4
,,,6
,,,8
,,,4
,,,4
,,,9
,,,4
,,,6
,,,4
,,,4
,,,4
,,,4
,,,4
,,,6
,,,4
,,,5
,,,4
,,,8
,,,4
,,,6
,,,5
,,,4
,,,5
,,,4
,,,5
,,,7
,,,6
,,,5
,,,9
,,,4
,,,4
,,,4
,,,4
,,,6
,,,4
,,,7
,,,4
,,,5
,,,4
,,,6
,,,6
,,,4
,,,4
,,,5
,,,5
,,,4
,,,5
,,,9
,,,12
,,,4
,,,4
,,,6
,,,4
,,,5
,,,4
,,,5
,,,8
,,,4
,,,5
,,,4
,,,4
,,,6
,,,4
,,,9
,,,4
,,,4
,,,7
,,,6
,,,5
,,,4
,,,4
,,,4
,,,5
,,,4
,,,4
,,,7
,,,4
,,,7
,,,5
,,,4
,,,8
,,,6
,,,8
,,,4
,,,4
,,,7
,,,4
,,,4
,,,4
,,,5
,,,7
,,,5
,,,4
,,,6
,,,6
,,,7
,,,4
,,,4
,,,4
,,,4
,,,4
,,,5
,,,4
,,,5
,,,9
,,,6
,,,5
,,,5
,,,4
,,,5
,,,6
,,,4
,,,5
,,,4
,,,6
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,5
,,,5
,,,4
,,,4
,,,5
,,,4
